"","P","D","W","ll","copula","params1","params2"
"343","2","256","128","2.3582932014692","normalCopula","-0.296534337872196",NA
"344","2","256","128","1.60843851440958","claytonCopula","-0.127796947748451",NA
"345","2","256","128","-3.23705227388629e-07","gumbelCopula","1.00000001490116",NA
"346","2","256","128","-Inf","galambosCopula",NA,NA
"347","2","256","128","-Inf","huslerReissCopula",NA,NA
"348","2","256","128","-Inf","tevCopula",NA,NA
"349","2","256","128","2.35769866208376","tCopula","-0.296200059251382","5336.18964143341"
"350","2","256","128","-3.72905235937211e-07","rot gumbelCopula","1.00000001490116",NA
"351","2","256","128","-Inf","rot galambosCopula",NA,NA
"352","2","256","128","-Inf","rot huslerReissCopula",NA,NA
"353","3","256","128","0","Independent",NA,NA
"354","3","256","128","1.7383384531236","normalCopula","0.257823727101907",NA
"355","3","256","128","0.0078774982522814","claytonCopula","0.358422032417539",NA
"356","3","256","128","3.02433632593311","gumbelCopula","1.24368444714781",NA
"357","3","256","128","2.85157737080533","galambosCopula","0.504695051206862",NA
"358","3","256","128","2.73464731549892","huslerReissCopula","0.864000696276395",NA
"359","3","256","128","3.16821161559405","tevCopula","0.0860603960341796","1.59810370826321"
"360","3","256","128","1.89204498256079","tCopula","0.241640014481023","5.08305518606111"
"361","3","256","128","0.890640136409418","rot gumbelCopula","1.1406111674623",NA
"362","3","256","128","0.945829751739522","rot galambosCopula","0.386965642810308",NA
"363","3","256","128","0.990482750024038","rot huslerReissCopula","0.732041735296646",NA
"364","4","256","128","0","Independent",NA,NA
"365","4","256","128","0.0447710033375051","normalCopula","-0.0434327313137369",NA
"366","4","256","128","0.110630270927752","claytonCopula","0.0730764879104262",NA
"367","4","256","128","-3.72636516157709e-08","gumbelCopula","1.00000001490116",NA
"368","4","256","128","-Inf","galambosCopula",NA,NA
"369","4","256","128","-Inf","huslerReissCopula",NA,NA
"370","4","256","128","-Inf","tevCopula",NA,NA
"371","4","256","128","0.927715880333581","tCopula","-0.0785604881132872","3.28823630063103"
"372","4","256","128","0.021551727938907","rot gumbelCopula","1.01670230884759",NA
"373","4","256","128","-Inf","rot galambosCopula",NA,NA
"374","4","256","128","-Inf","rot huslerReissCopula",NA,NA
"375","5","256","128","0","Independent",NA,NA
"376","5","256","128","1.78594904601112","normalCopula","0.261058532678787",NA
"377","5","256","128","2.92897353852967","claytonCopula","0.452317735871457",NA
"378","5","256","128","0.749658124773543","gumbelCopula","1.12768403194221",NA
"379","5","256","128","0.957682508212068","galambosCopula","0.384940433925457",NA
"380","5","256","128","1.04672221641474","huslerReissCopula","0.738289926116936",NA
"381","5","256","128","1.01611696149106","tevCopula","0.902712826725219","36.8667164826671"
"382","5","256","128","1.78588914314247","tCopula","0.261054782277179","43643.5461580672"
"383","5","256","128","2.28586993791713","rot gumbelCopula","1.2089176303693",NA
"384","5","256","128","2.52583840395069","rot galambosCopula","0.477552016889627",NA
"385","5","256","128","2.62288717178287","rot huslerReissCopula","0.853830137119635",NA
"386","6","256","128","0","Independent",NA,NA
"387","6","256","128","2.53576467707792","normalCopula","0.307957219813359",NA
"388","6","256","128","3.39927282807151","claytonCopula","0.536695976546036",NA
"389","6","256","128","1.9329833146257","gumbelCopula","1.2024844877327",NA
"390","6","256","128","2.04849949095635","galambosCopula","0.467302586865351",NA
"391","6","256","128","2.07955867641036","huslerReissCopula","0.832889936385328",NA
"392","6","256","128","2.06682383895139","tevCopula","0.887035414927444","24.3800918075222"
"393","6","256","128","2.59616731948187","tCopula","0.298486196980816","7.85606816684366"
"394","6","256","128","3.49558210720196","rot gumbelCopula","1.2743629887569",NA
"395","6","256","128","3.22693612261924","rot galambosCopula","0.537893736595812",NA
"396","6","256","128","3.05735611063328","rot huslerReissCopula","0.901002004211355",NA
"397","7","256","128","0","Independent",NA,NA
"398","7","256","128","0.778508730226675","normalCopula","-0.176931014942946",NA
"399","7","256","128","0.0841983548998865","claytonCopula","-0.06964304773602",NA
"400","7","256","128","-1.7563063246101e-07","gumbelCopula","1.00000001490116",NA
"401","7","256","128","-Inf","galambosCopula",NA,NA
"402","7","256","128","-Inf","huslerReissCopula",NA,NA
"403","7","256","128","-Inf","tevCopula",NA,NA
"404","7","256","128","1.65009041885632","tCopula","-0.090006014721675","2.86870795947567"
"405","7","256","128","-7.62850660279701e-08","rot gumbelCopula","1.00000001490116",NA
"406","7","256","128","-Inf","rot galambosCopula",NA,NA
"407","7","256","128","-Inf","rot huslerReissCopula",NA,NA
"408","8","256","128","0","Independent",NA,NA
"409","8","256","128","0.0362160157593827","normalCopula","-0.039011898214918",NA
"410","8","256","128","0.0373315717805634","claytonCopula","0.0490112601236167",NA
"411","8","256","128","-1.05279616455234e-07","gumbelCopula","1.00000001490116",NA
"412","8","256","128","-Inf","galambosCopula",NA,NA
