"","P","ll","S","copula","params1","params2"
"338","10","262.661613315818","0","tCopula","0.8730140477127","8846.28642155497"
"339","10","258.743647396894","0","rot gumbelCopula","2.95946668790958",NA
"340","10","258.150979636859","0","rot galambosCopula","2.25015480771266",NA
"341","10","252.027333538279","0","rot huslerReissCopula","2.77480849114034",NA
"342","10","0","1","Independent",NA,NA
"343","10","206.533241806054","1","normalCopula","0.823815179518236",NA
"344","10","145.79984110177","1","claytonCopula","3.66092884413176",NA
"345","10","171.668398935426","1","gumbelCopula","2.29426643470667",NA
"346","10","171.225175022531","1","galambosCopula","1.56459489734481",NA
"347","10","167.261815965669","1","huslerReissCopula","2.01620551289532",NA
"348","10","171.250585849071","1","tevCopula","0.938336112638932","6.28695494360238"
"349","10","206.521994036297","1","tCopula","0.82383795043844","869.81404495251"
"350","10","202.533708212901","1","rot gumbelCopula","2.50064242571703",NA
"351","10","202.056289809677","1","rot galambosCopula","1.78706341324585",NA
"352","10","198.127672729373","1","rot huslerReissCopula","2.28680408794051",NA
"353","10","0","2","Independent",NA,NA
"354","10","258.331263236202","2","normalCopula","0.868356265054411",NA
"355","10","54.0512781966113","2","claytonCopula","5.52306193486668",NA
"356","10","229.942044416321","2","gumbelCopula","2.74511680562772",NA
"357","10","227.946316939277","2","galambosCopula","2.01795312415798",NA
"358","10","217.764425803242","2","huslerReissCopula","2.41778894614691",NA
"359","10","230.304096629906","2","tevCopula","0.935778494515417","3.43891297081513"
"360","10","258.281642163851","2","tCopula","0.868353581555137","925.140485438737"
"361","10","231.1007502748","2","rot gumbelCopula","2.76233569803567",NA
"362","10","228.624165231311","2","rot galambosCopula","2.03356989626874",NA
"363","10","216.812271048556","2","rot huslerReissCopula","2.4092914313555",NA
"364","11","0","0","Independent",NA,NA
"365","11","212.630063885565","0","normalCopula","0.832977941990063",NA
"366","11","97.7179770647382","0","claytonCopula","4.28866471212184",NA
"367","11","186.896742557587","0","gumbelCopula","2.43398844590755",NA
"368","11","185.169238499678","0","galambosCopula","1.71341764468203",NA
"369","11","172.805571464476","0","huslerReissCopula","2.07617060450748",NA
"370","11","188.424383463517","0","tevCopula","0.91943037161469","3.68091676230373"
"371","11","212.759561104262","0","tCopula","0.834186221304588","54.2660140255364"
"372","11","200.755335705097","0","rot gumbelCopula","2.52964088289339",NA
"373","11","199.571613815124","0","rot galambosCopula","1.8096890688475",NA
"374","11","192.212359677971","0","rot huslerReissCopula","2.25036372965473",NA
"375","11","0","1","Independent",NA,NA
"376","11","241.980052979226","1","normalCopula","0.856420946676725",NA
"377","11","175.412788763849","1","claytonCopula","4.38286049830064",NA
"378","11","199.327759909314","1","gumbelCopula","2.51545849160814",NA
"379","11","197.15667590186","1","galambosCopula","1.78190767723451",NA
"380","11","188.104268482846","1","huslerReissCopula","2.16865257964403",NA
"381","11","199.524232856623","1","tevCopula","0.920014321544396","3.36180305377492"
"382","11","241.975299621833","1","tCopula","0.856422038678133","4472.77791776306"
"383","11","240.391956708252","1","rot gumbelCopula","2.7681119627825",NA
"384","11","241.611517176585","1","rot galambosCopula","2.06279080295636",NA
"385","11","243.125547633307","1","rot huslerReissCopula","2.69848687020997",NA
"386","11","0","2","Independent",NA,NA
"387","11","239.241752648566","2","normalCopula","0.855780645400259",NA
"388","11","99.2301458081079","2","claytonCopula","5.12300647691368",NA
"389","11","209.72808042233","2","gumbelCopula","2.63212303409052",NA
"390","11","206.270632171349","2","galambosCopula","1.89922436693946",NA
"391","11","191.440986346914","2","huslerReissCopula","2.21148040981321",NA
"392","11","213.383830082197","2","tevCopula","0.912045249545456","2.45802347602231"
"393","11","239.522457755389","2","tCopula","0.857837873788555","33.1513563138244"
"394","11","229.219298861686","2","rot gumbelCopula","2.76418785885073",NA
"395","11","227.038567457589","2","rot galambosCopula","2.04138692135887",NA
"396","11","215.179262541746","2","rot huslerReissCopula","2.4343867460319",NA
