"","P","ll","D","W","copula","params1","params2"
"196","2","-9.27716203476259e-08","770","70","rot gumbelCopula","1.00000001490116",NA
"197","2","8.32072674266331e-05","770","70","rot galambosCopula","0.0883449717117865",NA
"198","2","-5.21804821573824e-15","770","70","rot huslerReissCopula","0.0968150225462385",NA
"199","3","0","400","8","Independent",NA,NA
"200","3","4.3879975901025","400","8","normalCopula","0.236183289732114",NA
"201","3","4.17670629086524","400","8","claytonCopula","0.388603370272417",NA
"202","3","3.69933948800145","400","8","gumbelCopula","1.15465579324153",NA
"203","3","3.51726365310514","400","8","galambosCopula","0.397929952447915",NA
"204","3","3.39873300621265","400","8","huslerReissCopula","0.729961674451353",NA
"205","3","3.76910121847344","400","8","tevCopula","-0.00939003359498428","2.03401575663345"
"206","3","4.39358144257624","400","8","tCopula","0.237690325257345","84.97487136491"
"207","3","3.94402258243302","400","8","rot gumbelCopula","1.17145174158264",NA
"208","3","4.0780313404599","400","8","rot galambosCopula","0.417450019158824",NA
"209","3","4.12587393208361","400","8","rot huslerReissCopula","0.762032898279145",NA
"210","3","0","400","24","Independent",NA,NA
"211","3","10.7289413623159","400","24","normalCopula","0.356558879160464",NA
"212","3","9.92217909827603","400","24","claytonCopula","0.605876488657553",NA
"213","3","5.67129160345737","400","24","gumbelCopula","1.21391714092331",NA
"214","3","6.4180856501433","400","24","galambosCopula","0.480055898234855",NA
"215","3","6.76253937725307","400","24","huslerReissCopula","0.854154904533863",NA
"216","3","6.6974104324206","400","24","tevCopula","0.954070494854066","58.7057507816983"
"217","3","10.7278059785444","400","24","tCopula","0.356360531290586","24502.8003995272"
"218","3","8.89955122667573","400","24","rot gumbelCopula","1.25348177456235",NA
"219","3","10.0591258459735","400","24","rot galambosCopula","0.532811040062786",NA
"220","3","10.5410822313886","400","24","rot huslerReissCopula","0.925770929565786",NA
"221","3","0","400","70","Independent",NA,NA
"222","3","1.7438797400024","400","70","normalCopula","0.149372724673328",NA
"223","3","4.7351681769993","400","70","claytonCopula","0.317629425628482",NA
"224","3","0.147986927957666","400","70","gumbelCopula","1.03237903576496",NA
"225","3","0.181308454807245","400","70","galambosCopula","0.229030679070254",NA
"226","3","0.175667765896212","400","70","huslerReissCopula","0.505490681722267",NA
"227","3","0.184984656576002","400","70","tevCopula","0.155743520292608","6.57395188735066"
"228","3","1.74303505778729","400","70","tCopula","0.149377297166634","5573.98897125033"
"229","3","3.67023020810211","400","70","rot gumbelCopula","1.13818013825935",NA
"230","3","3.56647927712254","400","70","rot galambosCopula","0.383136435720095",NA
"231","3","3.44318040809868","400","70","rot huslerReissCopula","0.712775973430867",NA
"232","3","0","770","8","Independent",NA,NA
"233","3","18.0049174705342","770","8","normalCopula","0.44658914130689",NA
"234","3","12.1996322489886","770","8","claytonCopula","0.883737313627695",NA
"235","3","15.0476035010709","770","8","gumbelCopula","1.35576777410622",NA
"236","3","15.8598004967936","770","8","galambosCopula","0.62835881752782",NA
"237","3","16.3820408697203","770","8","huslerReissCopula","1.03791160641672",NA
"238","3","16.304890061858","770","8","tevCopula","0.973045049616806","68.0725590013088"
"239","3","18.0045499723668","770","8","tCopula","0.446839544674515","9473.65065599163"
"240","3","15.9691622118864","770","8","rot gumbelCopula","1.37627882897759",NA
"241","3","16.0318375923302","770","8","rot galambosCopula","0.643192114601304",NA
"242","3","16.012235306794","770","8","rot huslerReissCopula","1.03672855114021",NA
"243","3","0","770","24","Independent",NA,NA
"244","3","10.664463312801","770","24","normalCopula","-0.354595485974412",NA
"245","3","7.5935652436715","770","24","claytonCopula","-0.171525186175316",NA
"246","3","-1.10449576489619e-06","770","24","gumbelCopula","1.00000001490116",NA
"247","3","-Inf","770","24","galambosCopula",NA,NA
"248","3","-Inf","770","24","huslerReissCopula",NA,NA
"249","3","-Inf","770","24","tevCopula",NA,NA
"250","3","10.6608586055797","770","24","tCopula","-0.354554575880694","2435.18669471628"
"251","3","-1.29466963457239e-06","770","24","rot gumbelCopula","1.00000001490116",NA
"252","3","-Inf","770","24","rot galambosCopula",NA,NA
"253","3","-Inf","770","24","rot huslerReissCopula",NA,NA
"254","3","0","770","70","Independent",NA,NA
"255","3","1.63881360132362","770","70","normalCopula","0.145740539390544",NA
"256","3","3.66964174200929","770","70","claytonCopula","0.274018967114302",NA
"257","3","0.368597770829421","770","70","gumbelCopula","1.05135874089415",NA
"258","3","0.297850495571152","770","70","galambosCopula","0.247540240560987",NA
"259","3","0.282817847432448","770","70","huslerReissCopula","0.529333139950883",NA
"260","3","0.55845716677088","770","70","tevCopula","-0.886393024976642","0.434706195451103"
"261","3","1.6363631804038","770","70","tCopula","0.145730174572814","2505.64566162266"
"262","3","2.93942831970851","770","70","rot gumbelCopula","1.12324395475402",NA
"263","3","3.02383813285332","770","70","rot galambosCopula","0.365701744777364",NA
"264","3","3.07786508661522","770","70","rot huslerReissCopula","0.699528859268119",NA
"265","4","0","400","8","Independent",NA,NA
"266","4","46.6666694018829","400","8","normalCopula","0.647782711968427",NA
"267","4","26.9626223867386","400","8","claytonCopula","1.98282986734306",NA
"268","4","38.3147862374035","400","8","gumbelCopula","1.68732794332814",NA
"269","4","38.4143044125698","400","8","galambosCopula","0.959682806866588",NA
"270","4","37.81707164732","400","8","huslerReissCopula","1.38455333994093",NA
"271","4","38.4079516471154","400","8","tevCopula","0.891024521542488","8.13622296442839"
"272","4","46.6660157957003","400","8","tCopula","0.64840432967315","4600.09902701151"
"273","4","43.8312358658417","400","8","rot gumbelCopula","1.7484974865448",NA
"274","4","43.8640282436084","400","8","rot galambosCopula","1.02424003154097",NA
"275","4","43.3069275652027","400","8","rot huslerReissCopula","1.45986138083666",NA
"276","4","0","400","24","Independent",NA,NA
"277","4","86.134369271355","400","24","normalCopula","0.794560876206162",NA
"278","4","60.7319508867749","400","24","claytonCopula","3.44517445208359",NA
