"","P","I","ll","copula","params1","params2"
"300","14","3","90.2400361655763","claytonCopula","2.61843560096686",NA
"301","14","3","83.1142292754328","gumbelCopula","2.03263837328298",NA
"302","14","3","82.5345915335591","galambosCopula","1.30391465950272",NA
"303","14","3","80.6031449060002","huslerReissCopula","1.74627397129353",NA
"304","14","3","82.8509004234343","tevCopula","0.884114775071503","4.22702088417612"
"305","14","3","98.7366638850067","tCopula","0.760938456914027","6.02442806388859"
"306","14","3","103.232950491753","rot gumbelCopula","2.22473145794781",NA
"307","14","3","102.730714640123","rot galambosCopula","1.51501100024946",NA
"308","14","3","100.035914886667","rot huslerReissCopula","2.00007027435102",NA
"309","2","0","0","Independent",NA,NA
"310","2","0","98.4701494102201","normalCopula","0.764549939934148",NA
"311","2","0","85.5816443523892","claytonCopula","2.80897435814058",NA
"312","2","0","79.3528494436462","gumbelCopula","2.00217288858664",NA
"313","2","0","78.9680946819664","galambosCopula","1.26657577126261",NA
"314","2","0","77.9339600988882","huslerReissCopula","1.71204274372897",NA
"315","2","0","78.7915906764271","tevCopula","0.916147559355404","6.63520401703848"
"316","2","0","98.5456399592609","tCopula","0.765202906314673","46.730882973406"
"317","2","0","102.46397530204","rot gumbelCopula","2.20046781881098",NA
"318","2","0","103.215134205271","rot galambosCopula","1.49287594259473",NA
"319","2","0","104.014914360573","rot huslerReissCopula","2.0523036958611",NA
"320","2","1","0","Independent",NA,NA
"321","2","1","109.29933020867","normalCopula","0.788169858848056",NA
"322","2","1","106.880777251894","claytonCopula","3.18766784813332",NA
"323","2","1","99.6083403416444","gumbelCopula","2.2320303076074",NA
"324","2","1","98.0467928984893","galambosCopula","1.4955024922597",NA
"325","2","1","93.3947680575762","huslerReissCopula","1.8985262107842",NA
"326","2","1","100.813627886284","tevCopula","0.859309874108283","2.32471720982372"
"327","2","1","119.931891237489","tCopula","0.800290711697676","3.97177182682799"
"328","2","1","123.545686377227","rot gumbelCopula","2.47340610808861",NA
"329","2","1","122.594776154545","rot galambosCopula","1.76523702864815",NA
"330","2","1","116.486597386507","rot huslerReissCopula","2.21571686946085",NA
"331","2","2","0","Independent",NA,NA
"332","2","2","100.808174586402","normalCopula","0.769892898823582",NA
"333","2","2","69.6295528025134","claytonCopula","3.3452919826593",NA
"334","2","2","86.9386865954655","gumbelCopula","2.09368056424516",NA
"335","2","2","86.0233101406134","galambosCopula","1.36012620362183",NA
"336","2","2","82.1214177198409","huslerReissCopula","1.76201406949329",NA
"337","2","2","87.0972545461179","tevCopula","0.883354449472623","3.74713603887413"
"338","2","2","104.690248853239","tCopula","0.782708820009965","9.09804801401473"
"339","2","2","105.533827429683","rot gumbelCopula","2.28198767512267",NA
"340","2","2","104.286719014408","rot galambosCopula","1.562041968692",NA
"341","2","2","98.84829392816","rot huslerReissCopula","1.97506885124531",NA
"342","2","3","0","Independent",NA,NA
"343","2","3","92.9444583988238","normalCopula","0.751347670388274",NA
"344","2","3","113.168949444993","claytonCopula","2.82794395280578",NA
"345","2","3","75.0396524552005","gumbelCopula","1.97862308285379",NA
"346","2","3","73.3383666191963","galambosCopula","1.24093444519193",NA
"347","2","3","67.2598249362538","huslerReissCopula","1.59084600270098",NA
"348","2","3","76.7737629731072","tevCopula","0.817980834780889","2.41374334633184"
"349","2","3","100.058850817143","tCopula","0.767502919963501","5.18086742280278"
"350","2","3","113.053517649198","rot gumbelCopula","2.33728474281573",NA
"351","2","3","112.57271488306","rot galambosCopula","1.63249472424349",NA
"352","2","3","109.668753800606","rot huslerReissCopula","2.14152650221925",NA
"353","3","0","0","Independent",NA,NA
"354","3","0","60.917405037638","normalCopula","0.65236163372444",NA
"355","3","0","63.0561174940173","claytonCopula","1.94255642434262",NA
"356","3","0","50.8341949031033","gumbelCopula","1.71308439806364",NA
"357","3","0","50.1494173951269","galambosCopula","0.972712539481599",NA
"358","3","0","49.1207798879104","huslerReissCopula","1.38657889271475",NA
"359","3","0","50.4543294091044","tevCopula","0.796384973023739","3.66128818264024"
"360","3","0","65.5816698301514","tCopula","0.665579957261415","5.49978003269473"
"361","3","0","70.6450629200241","rot gumbelCopula","1.87873514890782",NA
"362","3","0","69.5356533446023","rot galambosCopula","1.16377064715484",NA
"363","3","0","65.9469155393163","rot huslerReissCopula","1.5804094807011",NA
"364","3","1","0","Independent",NA,NA
"365","3","1","83.1088323782566","normalCopula","0.725244515015429",NA
"366","3","1","88.6687690423562","claytonCopula","2.52794700788836",NA
"367","3","1","67.7443383345578","gumbelCopula","1.88884738060357",NA
"368","3","1","66.9879766430125","galambosCopula","1.1494529892497",NA
"369","3","1","65.5200300539336","huslerReissCopula","1.57076041350469",NA
"370","3","1","67.1912011894134","tevCopula","0.855750698067958","4.07456179736098"
"371","3","1","86.5917491187627","tCopula","0.734212575381899","5.84725880730019"
"372","3","1","96.1521269785671","rot gumbelCopula","2.15583797679549",NA
"373","3","1","94.7201518655932","rot galambosCopula","1.44539311698626",NA
"374","3","1","89.7100194018897","rot huslerReissCopula","1.87029971616514",NA
"375","3","2","0","Independent",NA,NA
"376","3","2","84.1630249670511","normalCopula","0.728189805920381",NA
"377","3","2","84.3536323987272","claytonCopula","2.38055840349635",NA
"378","3","2","76.5296417244718","gumbelCopula","1.97234092035009",NA
"379","3","2","74.8739665361911","galambosCopula","1.24546589439973",NA
"380","3","2","69.3354051577093","huslerReissCopula","1.61410642779179",NA
"381","3","2","78.2620953529129","tevCopula","0.80933095334102","2.36814099526261"
"382","3","2","91.943004304042","tCopula","0.737926751266676","4.11816941724634"
"383","3","2","94.5833237422263","rot gumbelCopula","2.12819603639614",NA
"384","3","2","94.0620284803759","rot galambosCopula","1.42057927330547",NA
"385","3","2","90.9254137816203","rot huslerReissCopula","1.88634482632395",NA
"386","3","3","0","Independent",NA,NA
"387","3","3","97.008268761886","normalCopula","0.761121849441568",NA
"388","3","3","113.032699410264","claytonCopula","3.0629620268541",NA
"389","3","3","81.8759932305379","gumbelCopula","2.07548653949158",NA
"390","3","3","78.8062810506142","galambosCopula","1.3204050226001",NA
