"","P","I","ll","copula","params"
"235","13","1","11.8749316124797","claytonCopula","4.83415521539387"
"236","13","1","47.4164904471491","gumbelCopula","2.82619268544243"
"237","13","1","47.3970123178035","galambosCopula","2.11836025308633"
"238","13","1","46.8304266135123","huslerReissCopula","2.68877657013445"
"239","13","1","47.3510529112655","tevCopula","0.964666468371232"
"240","13","1","48.2490904746863","tCopula","0.862236122397605"
"241","13","1","42.5392115765248","rot gumbelCopula","2.65018507954812"
"242","13","1","42.4912955854604","rot galambosCopula","1.92859874179277"
"243","13","1","42.0000329904486","rot huslerReissCopula","2.45610868585566"
"244","13","2","9.87734396176691","claytonCopula","2.81854019036262"
"245","13","2","33.4205243915472","gumbelCopula","2.27441874501591"
"246","13","2","33.5778428431992","galambosCopula","1.57310783924049"
"247","13","2","33.6462837359612","huslerReissCopula","2.13812005501125"
"248","13","2","33.6444712062541","tevCopula","0.97488645284352"
"249","13","2","32.2148591761499","tCopula","0.780723246824536"
"250","13","2","26.553530471052","rot gumbelCopula","2.05586674955634"
"251","13","2","27.02351059241","rot galambosCopula","1.34321513623091"
"252","13","2","27.6164415152833","rot huslerReissCopula","1.88705066043728"
"253","13","3","25.8871338231075","claytonCopula","5.00833681136921"
"254","13","3","50.5986856028143","gumbelCopula","2.85010677769726"
"255","13","3","50.6908458065226","galambosCopula","2.13827953612603"
"256","13","3","50.4517629630862","huslerReissCopula","2.72427215147645"
"257","13","3","50.5925970461607","tevCopula","0.965452004195943"
"258","13","3","55.7586140562068","tCopula","0.879351944802807"
"259","13","3","50.6196947733472","rot gumbelCopula","2.84637610977371"
"260","13","3","50.8343911058925","rot galambosCopula","2.13968425774783"
"261","13","3","50.7400033419411","rot huslerReissCopula","2.74707903745447"
"262","13","4","-6.43417043125307","claytonCopula","2.30509676137384"
"263","13","4","27.0470353069412","gumbelCopula","2.03882905152946"
"264","13","4","27.5109464391086","galambosCopula","1.3466379315391"
"265","13","4","28.1099352019551","huslerReissCopula","1.93082906590062"
"266","13","4","27.9503608851414","tevCopula","0.981648060685086"
"267","13","4","23.0607236090488","tCopula","0.707741043671955"
"268","13","4","15.0587767396515","rot gumbelCopula","1.73152470134954"
"269","13","4","15.1777441942995","rot galambosCopula","0.998637948706317"
"270","13","4","15.2318423729138","rot huslerReissCopula","1.4401544541905"
"271","14","0","26.4332929840233","claytonCopula","3.34023177791321"
"272","14","0","34.9123718612786","gumbelCopula","2.28506552929604"
"273","14","0","32.2057377582493","galambosCopula","1.55133841078373"
"274","14","0","23.899463266887","huslerReissCopula","1.5987454410663"
"275","14","0","46.4673775299142","tevCopula","0.790620571367341"
"276","14","0","45.0354482790354","tCopula","0.817361539335059"
"277","14","0","38.6701462017525","rot gumbelCopula","2.35158293184996"
"278","14","0","37.2582404471899","rot galambosCopula","1.61543312896041"
"279","14","0","33.4618105294133","rot huslerReissCopula","1.91481298975706"
"280","14","1","15.2136970755771","claytonCopula","1.63171703847809"
"281","14","1","10.6351825908949","gumbelCopula","1.66613936385848"
"282","14","1","10.71347561451","galambosCopula","0.943367873648592"
"283","14","1","10.7325588518809","huslerReissCopula","1.39294245394213"
"284","14","1","10.7356034374331","tevCopula","0.952690575131446"
"285","14","1","13.6549739709967","tCopula","0.651836635329514"
"286","14","1","14.9235198192287","rot gumbelCopula","1.80993952373104"
"287","14","1","15.1499987726759","rot galambosCopula","1.102369903332"
"288","14","1","15.4497499021008","rot huslerReissCopula","1.61907690056349"
"289","14","2","20.946497543928","claytonCopula","4.20013823212161"
"290","14","2","32.3683036827177","gumbelCopula","2.47991543005271"
"291","14","2","32.6953901746433","galambosCopula","1.77423266828263"
"292","14","2","33.1164288971153","huslerReissCopula","2.3741795723218"
"293","14","2","33.0250027124655","tevCopula","0.985709864375788"
"294","14","2","37.1806216626126","tCopula","0.847347927606206"
"295","14","2","34.652779363844","rot gumbelCopula","2.57423096634218"
"296","14","2","34.9345316724754","rot galambosCopula","1.87411889885029"
"297","14","2","35.2390785261399","rot huslerReissCopula","2.4903089759292"
"298","14","3","21.7592686012025","claytonCopula","6.89706653531343"
"299","14","3","48.5263667441646","gumbelCopula","3.16600150952226"
"300","14","3","48.395737447567","galambosCopula","2.45370805723544"
"301","14","3","46.8992478439578","huslerReissCopula","2.95535015979092"
"302","14","3","48.529599600924","tevCopula","0.963883075783488"
"303","14","3","54.3609858566231","tCopula","0.903583750385413"
"304","14","3","51.2466203911291","rot gumbelCopula","3.27107101772154"
"305","14","3","51.2643836054906","rot galambosCopula","2.56719531229885"
"306","14","3","50.3215690232028","rot huslerReissCopula","3.15382295995108"
"307","2","0","6.23577819812621","claytonCopula","1.0671939037138"
"308","2","0","12.3339767425445","gumbelCopula","1.54546525942969"
"309","2","0","12.501646325523","galambosCopula","0.830064062615028"
"310","2","0","12.6517664249481","huslerReissCopula","1.28265858886864"
"311","2","0","12.6067756083274","tevCopula","0.961101468286807"
"312","2","0","11.3876227976387","tCopula","0.53385018133366"
"313","2","0","9.41550477616996","rot gumbelCopula","1.46879145221556"
"314","2","0","9.64803923181479","rot galambosCopula","0.745581996312962"
"315","2","0","9.88113819885455","rot huslerReissCopula","1.18113954037044"
"316","2","1","27.0055743446013","claytonCopula","5.82107932311718"
"317","2","1","58.2895771435058","gumbelCopula","3.10891382148305"
"318","2","1","57.703841913208","galambosCopula","2.38629586807942"
"319","2","1","54.9943064148438","huslerReissCopula","2.80559884502446"
"320","2","1","59.0979860519897","tevCopula","0.930707750092901"
"321","2","1","61.2303960531455","tCopula","0.888308411517023"
"322","2","1","57.8154022316334","rot gumbelCopula","3.07487823331515"
"323","2","1","57.4411864218414","rot galambosCopula","2.34983086511254"
"324","2","1","55.8216105255615","rot huslerReissCopula","2.84568467167321"
"325","2","2","27.4719438824437","claytonCopula","3.2716269979821"
