,participant,id,mt
301,3,3.5443205162238103,2.492
302,3,3.5443205162238103,1.507
303,3,3.5443205162238103,1.238
304,3,3.5443205162238103,1.348
305,3,3.5443205162238103,1.346
306,3,3.5443205162238103,1.04
307,3,3.5443205162238103,1.427
308,3,3.5443205162238103,1.437
309,3,3.5443205162238103,1.301
310,3,3.5443205162238103,1.048
311,3,3.5443205162238103,1.682
312,3,3.5443205162238103,1.329
313,3,3.5443205162238103,0.894
314,3,3.5443205162238103,1.211
315,3,3.5443205162238103,0.901
316,3,3.5443205162238103,1.292
317,3,3.5443205162238103,1.291
318,3,3.5443205162238103,1.031
319,3,3.5443205162238103,1.338
320,3,3.169925001442312,1.102
321,3,3.169925001442312,1.148
322,3,3.169925001442312,1.156
323,3,3.169925001442312,1.318
324,3,3.169925001442312,1.003
325,3,3.169925001442312,1.039
326,3,3.169925001442312,1.056
327,3,3.169925001442312,0.921
328,3,3.169925001442312,1.056
329,3,3.169925001442312,0.931
330,3,3.169925001442312,1.319
331,3,3.169925001442312,0.994
332,3,3.169925001442312,1.382
333,3,3.169925001442312,1.049
334,3,3.169925001442312,0.85
335,3,3.169925001442312,2.16
336,3,3.169925001442312,1.021
337,3,3.169925001442312,1.148
338,3,3.169925001442312,1.147
339,3,3.169925001442312,1.075
340,3,3.169925001442312,0.993
341,3,3.169925001442312,1.001
342,3,3.169925001442312,1.193
343,3,3.169925001442312,1.048
344,3,3.169925001442312,0.902
345,3,3.169925001442312,0.894
346,3,3.169925001442312,1.166
347,3,3.169925001442312,1.12
348,3,3.169925001442312,0.931
349,3,3.169925001442312,1.039
350,3,3.169925001442312,0.795
351,3,3.169925001442312,0.93
352,3,3.169925001442312,0.741
353,3,3.169925001442312,0.886
354,3,3.169925001442312,0.84
355,3,3.169925001442312,0.74
356,3,3.169925001442312,1.085
357,3,3.169925001442312,0.742
358,3,3.169925001442312,1.862
359,3,3.169925001442312,1.049
360,3,4.523561956057013,2.681
361,3,4.523561956057013,1.673
362,3,4.523561956057013,2.016
363,3,4.523561956057013,1.328
364,3,4.523561956057013,1.634
365,3,4.523561956057013,2.612
366,3,4.523561956057013,1.735
367,3,4.523561956057013,1.429
368,3,4.523561956057013,1.527
369,3,4.523561956057013,2.069
370,3,4.523561956057013,1.51
371,3,4.523561956057013,2.15
372,3,4.523561956057013,1.365
373,3,4.523561956057013,1.908
374,3,4.523561956057013,2.341
375,3,4.523561956057013,1.353
376,3,4.523561956057013,2.368
377,3,4.523561956057013,3.353
378,3,4.523561956057013,1.934
379,3,4.523561956057013,1.291
380,3,4.523561956057013,2.433
381,3,4.523561956057013,1.464
382,3,4.523561956057013,1.409
383,3,4.523561956057013,3.433
384,3,4.523561956057013,1.382
385,3,4.523561956057013,1.148
386,3,4.523561956057013,1.4
387,3,4.523561956057013,1.374
388,3,4.523561956057013,1.392
389,3,4.523561956057013,1.366
390,3,4.523561956057013,1.392
391,3,4.523561956057013,1.238
392,3,4.523561956057013,1.482
393,3,4.523561956057013,1.933
394,3,4.523561956057013,1.998
395,3,4.523561956057013,1.898
396,3,4.523561956057013,1.772
397,3,4.523561956057013,1.79
398,3,4.523561956057013,2.123
399,3,4.523561956057013,1.852
400,3,3.969626350956481,1.248
401,3,3.969626350956481,0.831
402,3,3.969626350956481,1.401
403,3,3.969626350956481,1.608
404,3,3.969626350956481,1.508
405,3,3.969626350956481,1.119
406,3,3.969626350956481,1.039
407,3,3.969626350956481,0.931
408,3,3.969626350956481,0.913
409,3,3.969626350956481,1.32
410,3,3.969626350956481,0.886
411,3,3.969626350956481,1.237
412,3,3.969626350956481,1.264
413,3,3.969626350956481,1.31
414,3,3.969626350956481,1.498
415,3,3.969626350956481,1.373
416,3,3.969626350956481,1.266
417,3,3.969626350956481,2.159
418,3,3.969626350956481,1.364
419,3,3.969626350956481,1.003
420,3,3.969626350956481,1.157
421,3,3.969626350956481,1.389
422,3,3.969626350956481,1.425
423,3,3.969626350956481,1.256
424,3,3.969626350956481,0.983
425,3,3.969626350956481,1.066
426,3,3.969626350956481,0.984
427,3,3.969626350956481,1.283
428,3,3.969626350956481,1.158
429,3,3.969626350956481,1.345
430,3,3.969626350956481,1.31
431,3,3.969626350956481,1.21
432,3,3.969626350956481,1.138
433,3,3.969626350956481,1.048
434,3,3.969626350956481,1.346
435,3,3.969626350956481,1.463
436,3,3.969626350956481,1.212
437,3,3.969626350956481,1.735
438,3,3.969626350956481,2.504
439,3,3.969626350956481,1.32
440,3,3.584962500721156,2.215
441,3,3.584962500721156,1.139
442,3,3.584962500721156,1.184
443,3,3.584962500721156,1.028
444,3,3.584962500721156,1.001
445,3,3.584962500721156,1.157
446,3,3.584962500721156,1.111
447,3,3.584962500721156,1.004
448,3,3.584962500721156,0.904
449,3,3.584962500721156,1.057
450,3,3.584962500721156,1.075
451,3,3.584962500721156,1.212
452,3,3.584962500721156,1.961
453,3,3.584962500721156,1.237
454,3,3.584962500721156,0.921
455,3,3.584962500721156,1.184
456,3,3.584962500721156,0.975
457,3,3.584962500721156,1.411
458,3,3.584962500721156,1.311
459,3,3.584962500721156,1.554
460,3,3.584962500721156,1.094
461,3,3.584962500721156,0.957
462,3,3.584962500721156,1.011
463,3,3.584962500721156,1.147
464,3,3.584962500721156,1.23
465,3,3.584962500721156,1.089
466,3,3.584962500721156,0.831
467,3,3.584962500721156,1.121
468,3,3.584962500721156,0.923
469,3,3.584962500721156,1.048
470,3,3.584962500721156,2.059
471,3,3.584962500721156,1.283
472,3,3.584962500721156,0.876
473,3,3.584962500721156,1.209
474,3,3.584962500721156,1.21
475,3,3.584962500721156,1.164
476,3,3.584962500721156,1.646
477,3,3.584962500721156,1.301
478,3,3.584962500721156,1.166
479,3,3.584962500721156,1.419
480,4,2.321928094887362,0.75
481,4,2.321928094887362,1.102
482,4,2.321928094887362,0.74
483,4,2.321928094887362,0.696
484,4,2.321928094887362,0.769
